@contest "2025 CCPC 全国邀请赛（南昌）暨第二届江西省赛 - 正式赛"
@contlen 310
@problems 13
@teams 370
@submissions 4411
@p A,A,20,0
@p B,B,20,0
@p C,C,20,0
@p D,D,20,0
@p E,E,20,0
@p F,F,20,0
@p G,G,20,0
@p H,H,20,0
@p I,I,20,0
@p J,J,20,0
@p K,K,20,0
@p L,L,20,0
@p M,M,20,0
@t 1,0,1,"浙江工业大学之江学院 - 25時  、xcpc見 - 段圣宣, 李浩, 姚陆涵茗"
@t 2,0,1,"莆田学院 - 口胡金牌题 - 许庆华, 龚磊, 黄佳威"
@t 3,0,1,"南昌大学 - 雪月花 - 何超, 满曜嘉, 吴帅兵"
@t 4,0,1,"长春理工大学 - 是长理不是厂里 - 罗卫泽, 骆柏荣, 徐瑞奇"
@t 5,0,1,"东莞理工学院 - 心态就是力量 - 黄海, 林志龙, 林恬烁"
@t 6,0,1,"北京化工大学 - 传奇半神 - 彭天祺, 陈昊然, 熊家怡"
@t 7,0,1,"武汉大学 - 哇多麼好的機會啊 - 吴悠, 文质彬, 肖涵卓"
@t 8,0,1,"湖南农业大学 - 会赢的 - 李海芬, 周辉, 董振华"
@t 9,0,1,"信息工程大学 - 重生之我在信大 - 蔡智勋, 赵凌睿, 闫国基"
@t 10,0,1,"代码源 - 七八九 - 郭崇皓, 王益桐, 陈皓轩"
@t 11,0,1,"安徽大学 - 似乎有着能够令人AC的隐藏指令 - 刘圆博, 吕建强, 许子桢"
@t 12,0,1,"浙大城市学院 - 烤牛舌 - 项天聪, 杨烨锋, 张宸赫"
@t 13,0,1,"浙江工商大学 - 魔法火焰 - 邬子阳, 詹海吉, 徐晓轩"
@t 14,0,1,"长安大学 - 5小时速通CCPC - 刘葆骐, 胡艺瀚, 冯瀚文"
@t 15,0,1,"重庆移通学院 - 真実と幻想？不思議の単挑旅行絶賛進行中！ - 李德立, 韩世杰, 李中冉"
@t 16,0,1,"山东理工大学 - 三重豌豆(考研版) - 李连奇, 毕振豪, 吴宇恒"
@t 17,0,1,"重庆大学 - 次元沸腾 - 陈孙一硕, 包函睿, 韩金东"
@t 18,0,1,"国防科技大学 - 111 - 彭正圣, 马艺洋, 杨天鹏"
@t 19,0,1,"信息工程大学 - 花生可 - 黄颂凯, 李鸣铭, 卫海鑫"
@t 20,0,1,"北京电子科技学院 - 饱饱和宝宝和宝饱一起跨校打星 - 于凯, 罗靖豪, 陈弘毅"
@t 21,0,1,"武昌首义学院 - 和我的爆裂黎明说去吧 - 汤龙飞"
@t 22,0,1,"广东工业大学 - 静声 - 袁镇清, 许晓喆, 谢嘉骏"
@t 23,0,1,"长春理工大学 - 认知偏差认知偏认知认 - 周易非, 黄炳睿, 李佳阳"
@t 24,0,1,"江西师范大学 - Wrong_answer_on_test_1 - 杨扬骁, 刘俊豪, 叶潮辉"
@t 25,0,1,"新疆大学 - QTZ - 张立, 邱桐, 陶文喆"
@t 26,0,1,"江西农业大学 - 领航者 - 刘圣丰, 江柏霖, 吴楚扬"
@t 27,0,1,"江西师范大学 - 摸摸鱼 - 汤海峰, 黎朔鸣, 彭明俊"
@t 28,0,1,"莆田学院 - Skuld - 缪高峰, 王羿捷, 卢竑宇"
@t 29,0,1,"华东交通大学 - 真的想不到队名了 - 涂传俊, 张文乾, 章瑜华"
